Bahnaric,Vietnamese
gơxŏk,đục
gơxŏng,con tôm
gơxơng,khàn
gơxơ̆m,cây nghe
kŏng,cánh
gơ̆k,rào chung quanh mồ mả
gơ̆l,choai
gơ̆n,cản
gơ̆ng,cột trâu vào cây nêu để giết thịt
gơ̆nh,nắm chặt
gơ̆p,tớ
gơ̆t,giữ chặt
gưgư,một loại cá có thể tấn công người
gưp,dần dần
gưp gưp,càng ngày càng
gưu,đực
gẫm,thể
gỗ ngoh,nồi com  nồi canh
h'mon,sử
h'yol iĕ,trẻ
ha,bì
ha'lŏ,tuổi hoa niên
ha'nah,cây non mới mọc
ha'nih,thịt đạc
hach,tan
haglam,một lần nữa
haglơ̆p,hang thú rừng
hah,khích
hah ha,tiếng cười vui vẽ
hakŭl,hấp
hal,khát
halau,chí vì
haliau,xanh xao
halin,kiến có cánh đầu xanh hay nâu
haluơk,núi dây
ham,tám
hamah,hoa mít không đậu trái
hameng,bình an
hamlen,dẹp lép
hamui,đau đầu thoáng váng say rượu hoặc đau ốm
chơ'bathan,cành
hangao,phong khách
hangoi,bồ hóng
hanh,mừng
hanhao,phong khách giữa nhà
hanhŭ hơdang,cây me đất
hanhŭk,xum xuê tủa xuống
hanhŭr,chảy mũi nước
hanăk,khí giới (dao
hanăp,bệnh mày đak
hao,leo trèo
hapaih,đuốc làm bằng tre chẻ
hapak,cái lao bằng nứa
haper,nơi thường thả lúc vật
hapha,loại chuối giống chuối lên
hapoh,răng nanh
hapol,đo
harunh,rống
harôt,cơn sốt do bệnh khác gây nên
harŭt,giật
hat,hát
hatieng,cây lung
hatra hatral,chữ vật rơi
hată,toàn
hatăl,chồng chất lên nhau
hatŏn,cái nia
hatơl,cây rừng có quả ăn rất chua
hatơt,đánh bằng đầu
hatơ̆m,nguyền của
hatưl,cây rừng có quả chua
hau,cưỡi
hawen,hay nổi nóng
hawin,chiêng của người lào
haxơ̆ng,chim lượn vòng trên bầu trời
hayang,nhảy qua
hayâu,loại cây rừng
hayơnh,đói lả
hađĕn,kiễng
hbech,nhẹn
hcm,hồ chí minh
hdiu,dàng
hdrom,bành
hdrông,sâu
kanh,cảnh
he,lạnh
he hel,nắng oi bức
he hĕr,chảy xăm xắp
heh heh,tiếng gõ cốc cốc của chim gõ kiến
hek,xé
heo,lành lạnh
hgơ̆m,có thể
hia,lấy di
hia hyôi,dài thồng lòng
hia tơ âu,lại đây
hiah,rách
hiak,chụp lấy
hiak hiak,bị lao
hiam,cây lấy vỏ để suốt cá
hian,dạy cách làm
hiang,càng ngày càng suy yếu
hiao,chỉ đàn chim kêu thất thanh
hiap,cánh đuôi tên để giữ thăng bằng
hiar,trải sa
hiau,cá siêu
hiel,tòng teng
hieo,trôi (theo dòng
hiep,mút
hiĕng,lo lắng
hiĕr hiĕr,sáng nhấp nháy
hiĕt,bị đứt tay
hih,tiếng trả lời
hik,phát cáu
hik hôk,cãi nhau lớn tiếng
hil,căm
hil hol,nắng chang chang
hin,nghèo
rơxeh,cạnh
hing,thèm muốn
hioch,giải bớt công việc
hiok,xem xét
hiong,hao
hiop,dần
hiot,ngay lập tức
hiou,biết đâu chừng
hir,chịu đựng được sự xa cách giữa các người thân
hiu,oi bức
hiu hiâu,nhìn láo lên trong lòng hoảng hốt
hiâu,lớp mỡ nổi trên bề mặt
hiêl hial,vật lớn trên cành cây
hiên,ho
hiông,toạc
hiôp,nước rút nhanh
hiôt,ru bé ngủ bằng cách đu đưa hay nhún
hiă,cảm thấy đói
pơnăr sem pu`ng,cánh dơi
hiĕch,đác
hiĕp,nuôi
hiĕr,nập
hiŭt hiăt,di chuyển hàng hóa
hiơ,dụng có kéo sợi
hiơ hiơh,chỉ lửa dùng cháu
hiơh,bén lửa nhanh
hiơp,liệm dần
hiơt,quên
hiơ̆,lo
hiơ̆p hiơ̆p,tiếng đánh đen đét
hiưng,rưới
b`ri,cánh rừng
rơ rŏng ti,cánh tay
khan,cáo
cao điêm,cao điểm
tơ to` kơjung,cao độ
groi kông,cao nguyên
kep,cặp
truh tơ noh,cặp bến
choah,cát
cau,cau
hla du,dù
hla irôt,nhám
hla nhet chít đak,bầu nước
khop,cầu
hla prit alop,lá chuối
hlak hla bơ,tờ giấy
hlalai,tràn ngập
hlang,bổ đôi
hlao,um
hleh,bẻ bắp
hlih,lở
hling,dội
hling 'bơt đak,chắt nước
hloin hlan,mở mắt to nhìn
hlok,nửa sải
hlom,lỡ
hlong,tỏ
hlong chơna pơda,chồi non
hlot,bán chạy
hlup,lún
hlut,bị lừa
hluôi,khỏi
hluôi băt,rõ
hlâu,trỏ tay
hlêk,say
hlôl,cô̆ng
hlăm,trầm trọng
hlĕnh,dối
hlĭch,khác lạ
hlĭm,một loại cây có gỗ rất chắc
hlŏ hlŏ to,thấp thoáng
hlŏng,vượt lên trước
hlŭ hlơ̆,tiếng cách cách chặt cây
hlŭn,làm cho trũng
hlŭng khong git,hầm mỏ
hlŭp,cục xuống
hlŭt,lún xuống
hlŭt hlăt,chỉ măng đất mập mập
hlơ hlông,sáng tỏ vật lớn
hlơ hlôp,lá to bản
hlơ hlĕch,láng
hlơn hlơn,nằm giãy giụa
hlơp,che kon
hlơ̆ hlơ̆,tiếng chặt cây cách cách
hlơ̆n hlăn,cục trên da
hmai,tràn
hmang,hay
hmar,bẫy sập cá ở bờ ao
hmĕch,xóa
hmĕk,lại mặt
hmĕng,loại muỗi kim
hmĕt,nhận cho chặt
hmoh hmĕch,ngồi chờ 
hmok,thái
mon,cậu
hmong,trộng
hmot,im thin thít
hmrŏ,để sân
hmôch,con kiến
hơhil,cau có
nơ pơ đă,câu đố
hmông,trông hạt
hmông hmang,lốm đốm trắng
hmă,canh
hmă hmeu,măng mới lú kim
hmăk hmŏm,hai vật nhỏ ngồi kề bên nhau
hmăk hmŭm,hai vật lớn ngồi kề bên nhau
hmăr,giấc mộng lành
tơnh,cầu kỳ
hmĭt,đè xuống
hmŏ,dự phong
hmŏm hmĕch,ngồi nghe
hmŏn,điều trị
hmŭm,quây
hmŭm hmăm,ngồi quây quần bên nhau
hmơch hmach,vật trăng trắng
hmơm,ngồi chờ
bang bay,cầu lông
hna,xào
rơrê,câu nhắp
kung kơ thang,cầu thang
hơneh,cầu treo
anah,cây
hnam kron,tù
hnam kơ jung,nhà dài
hnao,dao bằng nứa
hnger,không nỡ
hngil hngôl,ngồi băt
hngoh,trông
hngoh hgnĕch,trẻ nhỏ đang chờ
hngôh hngah,người lớn chực chờ
hngăk hngŏn,cột
hngăm,nặng
hngăp,ngóng
hngĕch,hngĕch
hngĕk hngŏk,vật đứng trơ trơ
hngĕl,hngĕk
hngĕnh,muỗi kim
hngŏ hngĕch,người trời đầu lên mặt nước
hngŏl,hngŏ
hngŏl hngăt,đứng trơ trơ
hngơr,ngáy
hnha,chẳng hạn
hnhap,cánh tên giữ thăng bằng
hnheng,bất tỉnh
hnhok,kiểm điểm
hnhŭm,tụ tập lại
hnhŭp,nghe theo
hnhêl hnhal,điểm sáng lớn
hnhôk,bài toán dễ
hnhăi,ngó
hnhăi minh pah măt,liếc
hnhăi pơdưng mĕt,lườm
hnhĕl hnhăp,điểm sáng nhỏ
hnhĭp,quên bẵng
hnhŭk,mời
hnia,lọai bẫy treo bắt chim
hnih xơng đak,bể nước
hning hla 'long,rợp bóng
hniê̆,chen
hnoch,chuối nhọn
hnok,một loại cây rừng giống như cây dừa
hnom,chưng
hnong,nằm liệt một chỗ
hnuk,hòa
hnêu,cái  đe
hnôi hnal,nổi lềnh bềnh trên mặt nước
chơpik,cầy
kơmrôi,cây ăn trái
hnĕn hnĕn,cùng nhau khiêng
hnĭn hnăp,nằm bất động
'long kơdrưng,cây cổ thụ
hnŏn,chỉ đám người ngồi hay núp yên một chỗ
hnŏn hnŏn,khom lưng gùi
hnŏng,đấu đông
hnŏng hnŏng,bụng no
hnŏp,ngồi sâp xuống sợ người ta thấy
hnơr,đồng tuổi
hoach,hoạch
hoal,lê
'long bri,cây cối
hoan,nóng tính
hoan grŏ,thần kinh tọa
hoang,cùng làm
hoang grơ̆m,loại ốc nhỏ
ttf'dah,cây con
hok,cá phá nhỏ
hol,chán
nhai,cây gai
klor,cây gạo
honh,héo
hop,họp
khŏl,cây gỗ
hoăi,đáng kiếm
pơxổng,cây mầm
hpinh,nguyện
hra,cây sung
halŭk,cây nêu
hrach,cây dầu
hrai,con giòi
hral,chưa ngủ
hram,rỉ ra
hrang,phóng
kơ̆i sô̆,cây số
hre,hrê
hreng,trăm
hreng rĕl,cây đậu thấn
hrep,kín đáo
kơjip,cây thuốc
‘long pơtăm,cây trồng
hrip,hủi
hriêng,một trăm
hroh,giã lần thứ hai
hroi,hroi
hroi tơhroi,đi nối đuôi nhau
hrok,cái đơm cá
hrot,cật
hroĕk tơhrĕk,xếp hàng nối đuôi nhau
hrŏk,con rận
hru hra,cây mọc chi chít
hrui,bắn
hrul,vắng
hrum,dễn
hruôch,dẹt
hrâp ao,mặc
hrâu,ngã ngửa
hrêl,một loại chim vẹt
hrêl hral,nhiều và số kể
ƀă,cha
hrôp,đôi
hră,ná
hră dip,cung
hrĕ,cảm giác ngứa
hrĕch,bứt đứt
hrĕl hrĕl,khắng khít bên nhau
hrĭ hră,cảm thấy rát hay nhám
hrĭp hĭp,tiếng mưa rơi lộp độp
hrŏl,một loại cây giống như cây trứng cá
hrŏm,mảnh khảnh
hrŏng,dứt cơn sốt
hrŭ,đền bù
'bă mĭ,cha mẹ
hrŭm jĕl,rau đền không gai
hrơ hrŭk hrơ hrăk,chỉ các tác động liên tiếp
hrơu,ngã chỏng gọng
hrơ̆i,con cò có lông màu nâu
hrơ̆k,găm vào
kơchai,chai
hrơ̆ng tơdrăng,cây lúa còn trở gốc rạ
hrơ̆p hrăp,tiếng ngựa phi
hrơ̆t,kéo lôi
hsêng,cái sàng
chơkŭp,chái
hua,khỉ có đuôi dài
hua huăi,nghe loáng thoáng
hual,xẻo một miếng
huang huang,nhiều người 
huat,quẳng
huch,húp
hue,dòm ngó
bơngai tơpuh,chân
huek,nhớ nhung
hui,hú to để báo hiệu
hui hai,loại chỉ mắt đỏ
huich,hoàng
huih,tiếng đuổi hay thúc bò
huin,nước đứng do có vật cần
huit,cảm thấy chóng mặt
huk hik,thở hổn hển
hum,sàng sảy
hung,huýt
huoh,bầu
huoh huĕch,những bầu nước không có nắp
huong huĕch,nhiều vật dài và cong
hur,hơ
huê,ngoái
huêu huao,chỉ sừng trâu
huôh huah,chỉ nhiều hang lổ
huăi,mặc kệ
huăk,trái xoài
huăng,rơi
huăr,cây nẹp hàng rào
huăt,quất
huăt ka,nghề đánh cá
huăì,moi ruột
huơy huay,chất đống không thứ tự
huưch huưch,cảm giác ngồi trên xe
hyiu,trôi theo dòng
hyot kơtĕch,rứt
hyôk,hài
hâu,nhé
hêh,rồi
hó nglõng ngạh,sao mai
hó nglŏng drô̆m xơ̆,sao hôm
hô,đắng
hôch,bul
hôh,hô
hôh hô,tiếng cười ha hả
hôi,ít khi
hôih,chỉ luyến tiếc
hôn,thán phục
hôp,phủ kín
hõm,rụi
hă,chứ
hăk,mửa
hănh,teo
hăp,bắt đầu
hĕl hĕl,lửa đỏ rực
hĭ,ăn đi
hĭnh chih,tranh
hĭr,khởi
jưng kông ,chân núi
hĭt,cộm
hŏ,uải
hŏch,nát
jưng plĕnh ,chân trời
hŏnh atrep,xẹp
hŏnh hep,tóp
hŭi,sáo
hŭl,đứt
hŭm,tấm
hŭng,ngửi
hŭp,lún xuống sâu
bopŭng,cháo
hơ an hao,khung cửi
gŏ 'dal tih,chảo
hơ bĕn hrô̆p nar hơkăm,váy mặc ngày hội
hơ bĕn hơ bĕn ao ao,quần quần áo áo
hơ dang tep,chỗ ngủ
hơ dong kau,buồng cau
hơ drai ao,vạt áo
huơy,chất
hơ iuh,ướt
hơ kar kla,da hổ
hling 'bơt,chắt
hơ mon hri,ngâm thơ
hơ mon nă,truyện cười
pơnhũl,chất độc
hơ na,rán
hơ nah 'long,mầm cây
tơdrong thu,chất lượng
mun,cháu
lep,châu
hơ ra hơ kăn,vịt mái
hơ ra kon,vịt con
hơ ra tơ mông,vịt trống
hơ săi ka,câu cá
hơ tŏng kau,bẹ cau
hơ xi prit,nải chuối
tơnut,chấu
hơ'blong,chỉ vật có hình dáng thoi dài
hơ'blông,chỉ người có thân hình thoi và đẹp
hơ'blơy,nói chơi
lep tơ drĭng,châu chấu
hơ'brak,nhúc
hơ'brĕn,nhỏ đều và đẹp
hơ'bruh,rỗ chằng rỗ chịt
hơ'brưt,chỉ trộn lẫn
hơ'bĭch,tư thế nằm
hơ'bŭk,mau mục
hơ'dang,chậm rãi
hơ'doh,nẩy nở
hơ'dong,bẫy dây xiết cổ hay chân thú
hơ'dong yang,dây rừng 
hơ'dăng,nứt nẻ
hơ'iơch,nhẹ
hơ'lam,ở giữa
hơ'lih,trao đổi
pơkao,cháu rể
hơ'lơ̆,lật lại
hơ'met,lúa chết
hơ'moi,theo hướng
hơ'mol,cây dùng để chọt trỉa
hơ'mrơ̆n,ê ẩm
hơ'mô,như nhau
hơ'môi,chỉ thoi độ lạnh lùng
hơ'măng,lần nữa
hơ'mơt,mò mẫm
hơ'ngai,váng
hơ'nglal,trọc
hơ'nglă,hất xuống
hơ'nglăk hơ'nglal,trọc lóc
hơ'ngưi,choáng
hơ'ngưk,một loại bọ rầy
hơ'nhĭp,nhắm mắt
hơ'nhơp,chỉ người lông lá đầy mình
hdrai,chày
hơ'nĭng,e  ngại
hơbaih,lanh lợi
hơbalhơbĕch,nhanh nhẹn
hơbĕr,mách lẻo
hơbiai,kiểu nói
hơbiu,chỗ lồi ra
hơblŏm,chẳng
hơbol,đơn vị đo
hơbong aơ pên hnam,cái móng
hơbrŭm,chỉ ria mép xồm xoàm
hơbuh,chỗ nước chảy cuồn cuộn
hơbâu,bươu
hơbông,loại cây sậy
si,chấy
hơbĕch,lanh lẹ
tra,chè
hơbŭ,đấm bằng nắm tay
hơbơ,chái bếp
hơbơ̆u,nghìn
hơbưi,vội
hơcham,làm dấu chỗ mình sẽ phát rẫy sau này
hơchuêng,lệch
hơchôm,quen biết
hơchô̆,một bó
hơchĕng,nghiêng một bên
hơchŭ,đụng phải
hơchŭt,đẩy củi vào cho cháy
chen ,chén
`xi hrôk,chí
hơde,một loại lồ ô nhỏ
hơder,la hét
hơdoh,vỗ cánh
hơdom,nhại
hơdongtuak,buồng dừa
hơdop,tư thế nghiên trang
hơdra,thuận
hơdrah,trưởng thành
adrak,chì
hơdral,duốc soi làm bằng tre nhỏ bó lại
hơdrang,bớt lửa khi cơm cạn nước
hơdren,chỉ trẻ em nhe răng cười
mai,chị
hơdrok,da hay võ cứng thú vật
hơdrong,một loại cây lấy vỏ xe dây
hơdru,lúa đã giã chưa sàng đầy
hơdruh,đuổi bắt nhau
hơdrôi,suy giảm
hơdrông,dâng cao
hơdrông hơbâu,bộ lạc jrai 
hơdrô̆i,theo
hơdră hơdră,lảo đảo sắp té
hơdrăk hơdrăk,cuộc sống lây lất
hơdrăk hơdrŏl,hai đứa bé to bằng nhau
hơdrăk hơdrŭl,hai vật to bằng nhau
hơdrăng,mổ
chi ‘bô,chi bộ
chi cuc,chi cục
hơdrĕ,bị thần giáng họa
hơdrĕng,rang
mai oh pôm mẽ b`ă,chị dâu
hơdrŏng krong,bói
hơdrơk,trút hơi trước khi chết
hơdrơ̆,trúc hơi trước khi chết
hơdê hơda,đi thành từng đoàn
hơdôm,bao nhiêu
mai oh,chị em
mai pôm mĕ 'bă,chị gái
hơdĕng,ngón út
hơdŏngtuak,bẹ dừa
hơdŭng,mang
hơdơi hơdơi wă,hòa thuận
hơga,sỏi đá
khoă,chìa khóa
hơgau,gàu sòng
hơgrep,chỉ nhiều người hay vật ốm ròm
hơgrêp,chỉ người lớn gầy còm
hơgrĭ hơgră,mang tỉnh tỉnh đủ thứ
hơgu,bộ lạc hơgu vùng bắc pleiku
hơguat,lêu nghêu
hơgăk hơbong,hai cô gái đẹp và giống nhau
hơgăk hơgr,một đàn
hơgăl,triều thiên
hơgăm,ngăn trở
hơgăt,chiều dài khoảng cách bằng từ khuya tay đến mút đầu ngắn tay giữa
hơgơm,nếu
hơgơng,cây đã chặt còn nằm ngỗn ngang ở đây
hơgơ̆m,tùy ý
phang,chiêm
hơhel,chang chang
hơheo,lạnh giá
hơhiu,oi
hơhiă,cầm giác đói
hơhiơ̆r,thất kinh
hơpo,chiêm bao
hơhrơ̆k,bản rộn
hơhuek,lo nghĩ về
hơhuel,không có gì hết
linh,chiến sĩ
hơhĕr,chỉ nước xăm xắp
hơhŭl,lụt
hơhơu,chỉ sự ồn ào vui vẽ
hơhơ̆ng,nóng lực
hơhưt,gió nhè nhẹ
gah tơ blah,chiến tranh
hơja,vỗ vào bờ
hơjing,một loại chũm chọe
hơjo,cây dâu tằm
hơjuăng,chỉ vật có hình sáng thoi dài
hơjâu,vẹn
hơjơ̆m,rèn
hơk,mát
chiêng,chiêng
hơkat,đọc lời thúc tụng
hơklŭp,úp xuống
hơkoch,nhột
hơkrop,ốm da học xương
hơkrôp,khô kéo
hơkră,xin
hơkuh,cây móc
hơkul,hấp chín
hơkun,cây không được phép đụng tới
hơkâu,đầu tiên đầu mùa
hơkô hơkap,các loại bẫy
hơkô hơkĕng,dọa trả thù
hơkôm,hạch hầu
hơkă,cái gùi
hơkăngoi,vợ lẽ
hơkăntơm,vợ cả
hơkơi,mép hiện nhà
hơkơt,chóng mặt gây nên do sợ lực thăm hay lên cao
hơkơ̆t,nuốt chửng
hơlah,bú dừ
hơlang,chuối rừng
hơlap,lá sách bò
hơlay,lẻ
hơle,chú hề
hơleh,trảy
hơlem,may
hơleng,loại cây rừng có lá chua ăn được
hơkok,chiếu
hơlĕnh,gian dối
hơlih,sụt
hơling,bền vững
hơlon,cuộn nhỏ
hơlong,một loại chiêng quý mặt không có năm
hơluh,trút ra
hơluăng,bộ lạc phía tây kontum
hơlŭng,hủy hoại
hơlôk,nói liệu
hơlôl,đây ắp
hơlă,cây thường
hơlăk,hỏi vặn
hơlăng,thông mình
hơlĭm,bọ rẫy
hơlŏng,gông cổ
tok,chiều
hơlŭl,đầy nghẹt
hơlơk,một loại lỗ ô mắt dày
hơmal,cây có lõi trắng
hơmang,đĩa hay mâm gỗ
hơmanh,tức giùm
hơmau,kịp thời
hơmlĕn,ngậm không nhả
hơmlôh,bụng to béo phì
hơmoh,chỗ đặt đơm
hơmol,đầu lòng
hơmŏl,khúc củi
hơmŏt,con rệp
hơmray,chỉ ăn mặc rách rưới
hơmre,chỉ cách trang trí đẹp
hơmreh,nhánh tre
dơnong,chiều cao
hơmroh,sắp xếp
hơmrok,không mời cũng đi
hơmrôi,bọ mắt
hơmrŭk,bộ chiêng
hơmrơn,dịu bớt
hơmrơ̆ng,chú ý
hơmu,trái nho
hơmui,bướm nhỏ màu trắng
hơmul,cây chặt để che nắng tạm thời
dơnor,chiều dài
hơmuơ̆n,cây cốc
hơmông,bệnh mày đay
hơmăi,phùn
hơmăm,kế
hơmăt,cảnh giác
kơ sơ̆ dơning,chiều mai
hơmĕch,trùng
hơmŏng,lộc
hơmơ,ngủ mớ
hơmơih,xoa
hơmơng,khoát
dơwơ̆l,chiều rộng
hơmơ̆l,hạnh
hơmơ̆m,sưng phù
hơmơ̆ng,cựa gà
hơnap,người ăn cùng một bàn
hơnar,chim con mới nở
hơnel,đầu tiên
kieng,chim
hơngla,bờ rẫy
hơnglah,ngã
hơnglang,gió lúc
hơnglao,nấc thang
hơngloh,hất
hơnglong,ngắn tay chân
hơnglăk,nuốt trửng
hơnglăng,loại lá rừng ăn được
hơngo,cây thông
hơngok,uống một hơi
hơngong,tha mồi
hơnguang,kiếm đồ ăn
hơngui,vĩnh viễn
hơnguăk,móc vào
hơngôl,chất thành đống
hơngơn,kê lên
hơngơ̆,bộ điện
hơngơ̆p,đớp mồi
sem kơtơp ,chim cu
hơnhaih,tách ra
hơnhok,làm ngay
hơnhong,xuôi
hơnhuơ̆l,lưới đánh cá
hawat,chim cút
hơnhăr,hơnhăr
hơnhău,xóc
hơnhĭr,hơnhơ̆r
tăr yang,chim đầu rìu
sem pơsel yang yai,chim én
hơnihjangtih,điền
chơbre,chim sâu
hơniê̆,độc
hơnoh,nợ thần
hơnoi,ống đựng lúa giống trỉa
hơnom,một cuốn cá
đum sưa,chín sữa
hơnong,phân
kơ di teh đak,chính phủ
pơgơl,chính quyền
hơnuh 'ba yang,bèo tấm
hơnul,đùa giỡn
hơnum,một loại gùi có nắp
hơnung,ì
hơnŭk,sung sướng
chinh tri,chính trị
hơnô,thoai thoải
hơnôi,muộn
hơnôm,lá non còn trong học
hơnô̆,khoe mạnh
hơnăk,bán chất
kiep,chíp
hơnăn,chính vì
kõ,chó
hơnăt,hấp tấp
hơnĭl,trinh nguyên
hơnĭt,không yên tâm
hơnŏk,bản tỉnh
hơnơ̆,thoải
hơnơ̆m,ở
hơnơ̆ng,đặn
hơnơ̆p,kín gió
hơnưal,quá sớm
hơpaih,bó đuốc bằng nan tre
hơpei,nọc ong
hơplih,thay đổi
hơplăng,cây sả
hơpoih,đuốc làm bằng nan tre
hơpol,bí đao
hơprĭp,vô liên sỉ
hơpêl,một loại dây leo dùng lá nấu tắm để giải vui dẻo
hnih,chỗ
hơpô̆i,ốc loại tròn vỏ dài và cứng
hơpă,cá sắc
hơpĭnh chă xa,ăn mày
hơpŭ,bân phận
hơpơi,van xin
kó chơ,chợ
hơrah,uể
hơrap,xếp ngay hàng thẳng lối
hơrau,cơn sốt do vết thương gây nên
hơroih,khô cằn
hơru hơra,mọc chi chít
hơrôi,thòng
hơră,hình khắc trên gỗ
hơrơnh,oải
hơrưng,nong
hơtai,đang thời kỳ
kŏ hơ kăn,chó cái
hơtat,dộng mạnh xuống đất
hơteng,măng nanh
hơtieng,cây lùng
hơtol,khoa trương
hơtral hơtral,vật rơi
hơtrơl,lớn bằng nhau
hơtu,hồn ma
hơtuh,bệnh lở loét lưỡi
hơ dang oei,chỗ ở
hơtê,nằm mơ
hơtêng,thêu
hơtô,bầu cụt cổ 
hơtăk,xếp chồng lên nhau
hơtăk hatŭl,nhiều xác chết
hơtăk hơtơ̆r,nhiều người
hơtăr,dây quai gùi
hơtŏk,chuyền
kó chă druh,chó săn
hơtŭ,đốt ngắn tay
hơtŭn,đi thụt lùi
hơtŭp hơtơ̆p,đâm nhiều nhát
hơtơ̆p,đâm thọc
hơtư̆,nhận làm
hơu hơu,tiếng ồn ào vui vẽ
hơwa,mái chào
hơwaih,đo đạc
hơwan,dạo này
hơwih,đi kiếm ăn
hơwin,cứng lòng tin
hơwing,bệnh kinh phong
hơwĕl,bật
hơwĕng,nổi nóng
hơwơ̆l,nhằm
hơwơ̆t,trổ bông
hơwưch kơ̆l,trời xẫm tối
hơwưi,vồ lấy
kơđunh,chốc
hơxeng,cái  nong
jơdruih,chổi
hơyeh,ganh đua
hơyok,tro tên
hơyol,chót vót
hơyon,cây đon đông xe bò
pơja,chồn
srŏng,chông
hơyêm,cây che nắng 
hơyăng,xuê
hơyĭng,đum
hơyơ̆l,bị rôp
hơđŏ̆ng,cúng
hơ̆m rŏ kơ,nghi ngờ một khả năng
hơ̆ng,bờ rừng
hơ̆p,nín thở
klo,chồng
hơ̆t hla,cây thuốc lá
hư,bị hư
hưch,hò
hưt,hiu
hẽng,loét
hốt,lừa
hơlep,chớp mắt
ia kơ,bay sà xuống
iam,bu
ich,cứt
ier,thiến
mat,chú
ih hih,tiếng dùng ở mệnh lệnh
iih,uống
il,gặp
im,chiều chuộng
in,giống nhau
'nar,chủ
inghêrô,ngục tổ tông
it,ôm sát
it dih bơl,đánh nhau
it tơ,sát
iêl,sạch
iôk,lấy nhau
iôl,ươ trọ
iôp iôp,dang đạc bước đi
iĕl,quá
iĕm, các anh
iĕr,con gà
iŏl,lay
iẽr,cối chày
iẽr tơhao,gà đạp mái
iữ,làm khiếp sợ
jai,gieo
nâr tơangla kơdih,chủ ngữ
jal,chài
tơngơl,chủ nhà
chu nhơ̆t,chủ nhật
pơsau,chú rể
khoa tơ nơm,chủ tịch
ơi piêu,chủ trương
jang hrai pơ nah,nghề săn bắn
jang ley,dây keo có trái
jang rong,nghề chăn nuôi
jap,liên lạc viên
jat,chạp
jay,thắng
jcfling,bất lịch sự
bă yang,chúa
jeh,dân tộc jeh
jep,lép
jeu,ghè nhỏ
jich,dịch
chuô,chùa
jih jang,hàng rào 
jin,mình ơi
pre,chuẩn
jit,mươi
jiêt,gọt
jjn,cây đa
jjo,tự
jo,què
joaih,khôn ngoan
chư̆k,chức
jofjö krong,chim ăn cá
jofmaih,đơn độc
chưk danh,chức danh
chưk năng,chức năng
jom,kính trọng
jon,khoèo chân
jong,chim nhồng
jơnăk,chức sắc
jong moch,cây chua
jop,gùi đan mắt cáo để gùi nước hay củi
jor,chắn
ting gring tang grang,chuệnh choạng
jotjoh,gõ nhẹ bằng đầu ngón tay
kơtul yul,chùm
jơhẽ,chúm chím
pơgang,chủng
bơblĕnh,chừng
jram,cháy hết
jrang,cây nhãn
jre,giã thóc con hót
jreh,ria mồi
jreng,hẩm
jring,cột cửa
jring jrơng,giọng cao thấp
jroh,hình trái xoăn
jrok,nuốt trong
jrong,đi ngang qua
jrung wai brai bôr,đã đính hôn
jrâu,rắc
jräng,cây cột
jrêng,cách
jrënh,sáp ong
jrôt,chùi
jrüm,kim may
jrüng,cái gùi nhỏ
jră,chống lại
jrăng 'nhaih,quả có nhựa dính
jrăng hnam,côt nhà 
pơwang,chung quanh
jrŭ,cái vực
pit,chuối
jrơi,bướng
jrơih,bắn sượt
jrơ̆u,trộn
jrễ,khing chê
jrổk,ròng
jrổp,giã gạo
jtf,cây bần
jtfdrek,miếng thịt mỏng
jtfdrô,chỉ môi hở
jtfjueng,mất bình tĩnh
jtfkhot,cao chót vật
ju je,rổ làm bằng ống tre hay nứa
sring,chuỗi
juang,vây quanh
juei,hưoai
jueng,tránh đường
juer,tránh
juey,con nai
ŏi,chuối cau
jui bơngai,người nằm trong mùng
juk jek,biọ rầy ăn vỏ cây
jule,loại kỳ nhông
jung jăng xang răk ra,sa xuống
sring srung,chuồn chuồn
jut,cây le
juăr,cầm que 
neng,chuông
adrung,chuồng
juăt kơ têm,nghề rèn
juơ̆t,thạo
jên,dẫn đi
jêp jêp,khập khà khập khễnh
jêu,ngây thơ
jôch,kể công
jôi,ngay lúc đó
jôigơgỡl,lúc đầu
tơm minh,chương
jôt,loại hơi lớn
jô̆,rù
jö,phải không
jöl kợjôk,nhảy tung tăng
jöng,gùi lớn
jü pơliă,gây bất hòa
jük,ông cai
jül,phục
jün,nhịn
jüt,ống hút 
rơmanh,chướng tai gai mắt
jăk,bỏ đi
dơhiok,chương trình
jăm,thịt heo rừng
kne,chuột
jăp,túm
jăr,nhựa cây
jăr jô,cây hà thủ ô
jĕ,cách mặt
kơhôch,chuột chù
jĩ,đau
kơ ne bak hôch,chuột chũi
măng,chuyến
jĭp,vá
jĭt,chục
jŏ,dành
teng neng,chuyện
jơ'ngang,ưỡn ngữa
jơ'ngong,cao nghều
jơ'nong,nằm sõng sượt
jơba,con vẹt mái
jơblan,đẹp trai
jơbram,râu thưa và dài
jơbrỡp,cây hoa
jơbữ,đánh bằng nắm tay
jơdrap,cái thuổng
kuôt,chuyên môn
jơdroi,chặn khúc sông cạn 
chuyên nganh,chuyên ngành
jơdrông,con sâu
clorua,clorua
jơdrơng,chiếc nhẫn
klang kok,cò
jơdrơ̆u,cái vợt
jơdu,êm dịu
jơgong,gầy ốm
jơgrôn,u lên
jơgrõn,trói tay sau lưng
jơgrữ,chỉ nằm ngữa
jơgôk,cá lớn
jơgông,lớn và cao
jơgăn,ngăn phòng
