potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
dah apinh pơgơ̆p hăm ih, wă bơ̆jang kơ ih đĭ chăl arih ưh? ||| liệu nó có lập giao ước với ngươi, ngươi có mãi mãi nhận nó làm tôi tớ?
dah b&n 'mem ko. sif hdm di johng&m klom klak b&n, ham di don b&h tocheng pang bat 'mem ko bol budl thoi b&n 'mem akau kodih, dah b&n rak 'bar todrong jiidt 'noh lei 'l&ng hloh ko di-ddng todrong b&n soi scfmah ko? 'bok. kei-dei". ||| yêu mến. thiên. chúa hết lòng, hết trí khôn, hết sức lực, và yêu người thân cận như chính mình, là điều quý hơn mọi lễ toàn thiêu và hy lễ."
dah bat iŏk tơdrong inh! ||| hãy nhớ lấy lời tôi!
dah bdm khan ndm mdrt lam porlei, lei 1dm porlei au dei pomgot tih, pang lu bdm go loch rorwdt tor ei; ma-lei dah bdm hrdn ngoi 'bdrt dau ktfm loch mom. ||| nếu chúng ta quyết định vào thành, thì chúng ta sẽ chết trong thành, vì ở đó đang có nạn đói; nếu chúng ta ở lại đây, thì chúng ta cũng sẽ chết.
dah bdôh bơr. ||| hãy lên tiếng
dah befngai bu ifh kef truh sit befngai noh ifh kef arih oh. ||| ai vắng mặt, sẽ không được sống
dah bon ttfwih lu stf klak hoh, tfh ktf jor lu stf rtfmon rok trong, yua ktf dei lu mtf'nah ddng ataih ttfpa adrin nam ttf au.". ||| nếu. thầy giải tán, để họ nhịn đói mà về nhà, thì họ sẽ bị xỉu dọc đường. . trong số đó, lại có những người ở xa đến."
dah bongai mat tol chbng ba bol so mat tol bre so nonam go hubng to solung dech. oh ko yua kio ko bre so oh.". ||| họ là những người mù dắt người mù. mù mà lại dắt mù, cả hai sẽ lăn cù xuống hố."
dah borngai bu lam lu idm 'maih pom ydng po'gd'r lu idm, bongai 'noh athei pom thoi le dich dam di-ddng kor lu iem. ||| ai muốn làm đầu anh em thì phải làm đầy tớ mọi người
dah btfn teywih lu stf brok klak hoh. inh hli ktf lu stf reymdn rok trorig.". ||| thầy không muốn giải tán họ, để họ nhịn đói mà về, sợ rằng họ bị xỉu dọc đường."
dah bu krao khan bơnê kơ 'bok. kei-dei yua nơ̆r hlĭch pơhiôk lăm jơhngơ̆m sư kơdih đĕch, lei thoi yơ bôl bơ̆n mă ưh kơ hlôh hơdai wang bơnê kơ 'bok. kei-dei tơdrong sư ưh kơ hlôh? ||| quả thế, nếu bạn chỉ chúc tụng với tấm lòng thôi, thì làm sao hạng người ngoài cuộc có thể thưa "amen" lúc bạn dâng lời tạ ơn, vì người đó không biết bạn nói gì?
dah bơn khan bơn ưh kơ đei tơdrong yoch, 'noh bơ̆n kư̆m hơlĕnh kơdih bơ̆n mơn păng 'bơ̆r bơ̆n kư̆m ưh kơ gơh pơma tơpăt tŏ sĕt. ||| nếu chúng ta nói là chúng ta không có tội, chúng ta tự lừa dối mình, và sự thật không ở trong chúng ta.
dah bơn pơm 'lơng ling-lang, ưh kơ đei bu pơm kơnề kơ bơn ôh. ||| ai làm hại được anh em, nếu anh em nhiệt thành làm điều thiện?
dah bơngai arih sot 'bôh hơdah đunh sơnăm, lei athei chơt hiôk bĕ tôm dôm lu sơnăm noh; mă-lei athei 'blŏk gô đei năr măng mu kơnê̆ păng gô đei lơ tơdrong tơ anăp bơ̆n ưh tam băt hơđăl thoi yơ tơpă. ||| người nào được sống lâu năm, tận hưởng đi cho sướng; nhưng phải nhớ rằng những chuỗi ngày đen tối sẽ dài lâu, và những gì sẽ đến đều là phù vân cả.
dah bơngai bu huch sa kư̆ kă ưh kơ tơchĕng kơ đak păng 'bĕng noh wă khan akâu. yêsu, bơngai 'noh 'bok. kei-dei gô ăn kơ sư đei tơdrong chhŭr nuih. ||| thật vậy, ai ăn và uống mà không phân biệt được. thân. thể. chúa, là ăn và uống án phạt mình.
dah bơngai bu khan kơ sư khan:. yak mă 'lơ̆ng kơ ih, bơngai 'noh dang tơgŭm sư pơm dôm tơdrong kơnê̆. lăp wă tôch đei nơ̆rjet gia dih băl. ||| quả thật, ai chào hỏi là cộng tác vào những việc xấu xa của người ấy. kết luận
dah bơngai bu khan: "inh lui kơ sư," sơmă bơngai 'nŏh ưh kơ răk tơdrong sư pơkă, bơngai 'noh hơlĕnh đĕch. sư ưh kơ pơma tơpăt tŏ sĕt ŏh. ||| ai nói rằng mình biết. người mà không tuân giữ các điều răn của. người, đó là kẻ nói dối, và sự thật không ở nơi người ấy.
dah bơngai bu lui kơ. kră. yang. yêsu, bơngai 'noh dang minh jơhngơ̆m minh đon hăm. yêsu. ||| ai đã kết hợp với. chúa, thì nên một tinh thần với. người.
dah bơngai bu lăm lu iĕm ưh kơ băt kơ inh chih ată tơdrong 'bok. kei-dei kơ iĕm tơpă, lei 'bok. kei-dei kư̆m ưh kơ băt kơ bơngai noh lui kơ. sư ôh. ||| ai không nhận biết điều ấy, thì cũng không được. chúa biết đến.
dah bơngai bu oei pơjah gah tơdrong lu drŏ-kăn wă akŭm kơ̆l hoh, bơngai 'noh athei tơchĕng 'biơ̆, yua kơ lu nhôn păng rim hnam akŭm ưh kơ đei bu ăn kơ lu bơngai drŏ-kăn akŭm kơ̆l hoh ôh. ||| ngoài ra, nếu có ai nghĩ mình phải cãi lý, thì đó không phải là thói quen của chúng tôi, cũng như không phải là thói quen trong các. hội. thánh của. thiên. chúa.
dah bơngai bu đei akăn boih, 'nĕ kơ achăng akăn sư; dah bơngai tam mă đei akăn, apinh sư 'nĕ tam hăt chă akăn dang ei. ||| bạn đã kết hôn với một người đàn bà ư? đừng tìm cách gỡ ra. bạn chưa kết hôn với một người đàn bà ư? đừng lo kiếm vợ.
dah bơngai bu ưh kơ chu dôm nơ̆r nhôn chih bơtho lăm kơthơ âu, iĕm tơ'bôh akâu sư kơ lu bơngai lui păng 'nĕ pă pơm buăl hăm sư wă kơ sư mơlâu. ||| nếu có ai không vâng theo lời chúng tôi nói trong thư này, anh em hãy ghi lấy tên và đừng giao du với người ấy, để họ biết xấu hổ.
dah bơngai bu ưh kơ lui kơ 'bok. kei-dei sư dang yak kơmăng; kơlih kơ sư ưh kơ lui na pă jor sư gô kuơ̆l kơ trong, kơlih sư ưh kơ wă 'bok. kei-dei tơ'bôh ăn kơ sư trong.". ||| còn ai đi ban đêm, thì vấp ngã vì không có ánh sáng nơi mình!"
dah bơngai lui wă jang lăm hnam 'bok. kei-dei, sư athei pơm mă 'lơ̆ng tơpăt adrol 'mơ̆i, ưh kơ et sik suai, ưh kơ hăt sa jên lơ păng trŏ tơdrong sư jang sư 'nĕ kơ pơgŏ iŏk jên đe. ||| các trợ tá cũng vậy, phải là người đàng hoàng, biết giữ lời hứa, không rượu chè say sưa, không tìm kiếm lợi lộc thấp hèn;
dah bơngai lăm hnam ei bơngai 'lơ̆ng, lei 'bok. kei-dei gô ăn kơ sư chơt hiôk tơpă. dah sư ưh kơ bơngai 'lơ̆ng, lei 'bok. kei-dei ưh kơ ăn kơ sư chơt hiôk ôh. ||| nếu ở đó, có ai đáng hưởng bình an, thì bình an của anh em sẽ ở lại với người ấy; bằng không thì bình an đó sẽ trở lại với anh em.
dah bơ̆n 'mêm kơ 'bok. kei-dei lei bơ̆n athei răk dôm tơdrong sư pơkă. dôm tơdrong sư pơkă noh ưh kơ gleh ôh. ||| quả thật, yêu mến. thiên. chúa là tuân giữ các điều răn của. người. mà các điều răn của. người có nặng nề gì đâu,
dah bơ̆n băt kơ sư mơ̆ng bơ̆n apinh tơdrong kiơ kiơ, lei bơ̆n kư̆m băt kơ sư ăn kơ bơ̆n tơdrong noh mơ̆n. ||| nếu chúng ta biết rằng. người nhậm mọi lời chúng ta xin, thì chúng ta cũng biết rằng chúng ta sẽ được những gì chúng ta đã xin. người.
dah bơ̆n băt tơpă tơdrong 'mêm motaat dih băl păng 'mêm kơ 'bok. kei-dei, lei bơ̆n athei răk dôm tơdrong sư pơkă. tơdrong pơkă noh hei iĕm kơtơ̆ng đơ̆ng tơm hmoyn sơ̆ boih thoi âu:. bơ̆n athei mêm kơ 'bok. kei-dei păng bôl buăl mơn. ||| yêu thương là sống theo các điều răn của. thiên. chúa. như anh em đã được nghe từ lúc khởi đầu, điều răn này là: anh em phải sống trong tình thương. những kẻ phản. ki-tô
dah bơ̆n khan bơ̆n ưh kơ đei tơdrong yoch, 'noh dang bơ̆n khan 'bok. kei-dei hơlĕnh kơlih kơ bơ̆n bơngai yoch tơpă na sư khan kơ bơ̆n thoi noh. dah bơ̆n ling-lang pơma thoi noh, bơ̆n ưh kơ đei layơ gơh băt tơdrong sư tŏ set. yêsu dŏng bơ̆n. ||| nếu chúng ta nói là chúng ta đã không phạm tội, thì chúng ta coi. người là kẻ nói dối, và lời của. người không ở trong chúng ta.
dah bơ̆n khan đơ̆ng kon bơngai, lei hli kơ lu kon pơlei klơ̆m bơ̆n păng tơmo, yua kơ lu sư lui kơ. yôhan bơngai pơtruh nơ̆r 'bok. kei-dei tơpă.". ||| còn nếu mình nói: "do người ta", thì toàn dân sẽ ném đá mình, vì họ xác tín rằng ông. gio-an là một. ngôn. sứ.
dah bơ̆n lui tơpă hăm đĭ jơhngơ̆m, noh kư̆m dang bơ̆n mơdrŏng mơ̆n yua kơ jơhngơ̆m bơ̆n hiôk 'lơ̆ng păng. sư boih. ||| đã hẳn, việc giữ đạo là nguồn lợi lớn đối với ai lấy cái mình có làm đủ.
dah bơ̆n oei kiơ̆ đe sa et tơmam đe sơmah kơ yang kơnê̆, 'noh dang bơ̆n pơlong. kră. yang hăm 'mêm kơ bơ̆n păng tơgar iŏk bơ̆n đơ̆ng yang kơnê̆ dah ưh. iĕm tơchĕng bơ̆n pran tih dang yơ na mă pơlong 'bok. kei-dei thoi noh? ||| hay là ta muốn làm cho. chúa phải ghen tương? chẳng lẽ ta mạnh sức hơn. người?
dah bơ̆n oei lăm hơdah sư, kư̆m thoi sư oei lăm hơdah, lei 'bơ̆r đon bơ̆n hiôk hơiă dih băl tơpă. na pham. kon sư. yêsu. krist 'nhao rơgoh bơ̆n tôm tơdrong yoch. ||| nhưng nếu chúng ta đi trong ánh sáng cũng như. thiên. chúa hằng ngự trong ánh sáng, thì chúng ta được hiệp thông với nhau, và máu đức. giê-su,. con của. người, thanh tẩy chúng ta sạch hết mọi tội lỗi. điều kiện thứ nhất: đoạn tuyệt với tội lỗi
dah bơ̆n pôm đon hăm. yêsu. krist, lei lu bơ̆n dang kon sâu. abraham tơpă, na 'bok. kei-dei gô tơgŭm bơ̆n dôm tơdrong 'lơ̆ng thoi. sư pơkă kơ. abraham sơ̆. ||| mà nếu anh em thuộc về đức. ki-tô, thì anh em là dòng dõi ông áp-ra-ham, những người thừa kế theo lời hứa.
dah bơ̆n răk dôm tơdrong sư pơkă lei noh bơ̆n lui kơ sư tơpă. ||| căn cứ vào điều này, chúng ta nhận ra rằng chúng ta biết. thiên. chúa: là chúng ta tuân giữ các điều răn của. người.
dah bơ̆n tơchĕng lăng lăm jơhngơ̆m bơ̆n hơdrol boih, lei 'bok. kei-dei huay kơ ăn kơ bơ̆n đei tơdrong chhŭr nuih kiơ. ||| giả như chúng ta tự xét mình, thì chúng ta đã không bị xét xử.
dah bơ̆n wă kơ đe băt kơ tơdrong jang bơ̆n, na bơ̆n ưh kơ gơh ôn tơdrong jang bơ̆n ôh. dah. ih gơh pơm tơdrong mơsêh mơyang tơpă lei. ih athei pơm tơ'bôh 'bơ̆t anăp đe lơ wă kơ đe băt kơ. ih.". ||| vì không ai muốn nổi danh mà lại hoạt động âm thầm cả. nếu ông làm những việc ấy, thì hãy tỏ mình ra cho thiên hạ biết.
dah bơ̆n đei tơdrong gleh pơmat-tat, bơ̆n oei adrin kiơ̆. sư khŏm khŏm, lei bơ̆n kư̆m pơgơ̆r hơdai hăm. sư ning-mônh mơ̆n. dah bơ̆n achăng. sư dang ei, lei pă jor. sư kư̆m achăng bơ̆n ning-mônh. ||| nếu ta kiên tâm chịu đựng, ta sẽ cùng hiển trị với. người. nếu ta chối bỏ. người,. người cũng sẽ chối bỏ ta.
dah bơ̆n ưh kơ khă. sư lei đĭ-đăng kon pơlei pơla gô lui kơ. sư na pôk. sư pơm tih. kơlih kơ thoi noh na lu bơngai. rôm gô hil na tŏk tơgar iŏk hnam akŭm tơm bơ̆n păng teh đak bơ̆n đĭ hloi.". ||| nếu chúng ta cứ để ông ấy tiếp tục, mọi người sẽ tin vào ông ấy, rồi người. rô-ma sẽ đến phá hủy cả nơi thánh của ta lẫn dân tộc ta.
dah bỡn khan 'bok. kei'dei sek tơlang ưh kơtơpăt, lei thoi yơjỡp kơ teh đak chu kơ sư sek tơlang mỡn. ||| 'chẳng hề như vậy! nếu vậy thì đức. chúa. trời đoán-xét thế-gian thể nào?
dah bỡn oei gơnang kớakâu bõn kơdih, bơn gô pù tơdrong phak. dah bỡn gơnang kơ. yang. bơhngol 'lơng wă hũt lễ tơdrong bơn ko'dih lei ning-mônh bỡn gô arih ling-lang. ||| thật thế, lieu anh em sổng theo xác-thịt thì phải chết; song nếu nhờ. thánh-linh, làm cho chét các việc của thân-thể, thì anh em sẽ sống.
dah bỡn pợjăm sư, dang bỡn sek tơlang đĩch đe, khan bơngai đĩch noh pơm ưh kơ lăp kơ yỗng sư. bỡn gô mơng kơ yõng sư sek tơlang kơdih đẽch, gơh jỗ kơ sư pơm 'lỡng pơm ưh. yồng sư noh wă khan. yêsu. krist,. yõng sư noh gơh tơgùm sư lui kợịăp khòm khồm. ||| ngươi là ai mà dám xét- đoán tôi-tớ của kê khác? nó đứng hay ngã, ấy lầ việc chủ nó; - song nó sẽ đứng, vì. chúa có quyền cho nó đứng vững-vàng. -
dah chãi arih bơngai bu pơhiôkkră. yang, í. na. kră. yang kữm ăn lu ayăt oei hiôk hăm sư. ||| khi tánh-hạnh của người nào đẹp lòng đức. giê-hô-va,. thì. ngài cũng khiến các thù- nghịch người ở hòa-thuận với người.
dah de khan: 'biem iok pom kior?'. bibm khan kef stf thoi au: 'kra. yang wb yua 'bib. ||| nếu có ai nói gì với các anh, thì trả lời là. chúa cần đến chúng,
dah de mah jo kef. inh yang. belsebul khul yang kone, de jo kcr idm kang loi. ||| hãy nói giữa ban ngày, đừng có sợ (lc 12: 2-9)
dah de pefm kefne kef iem tef pcflei au, iem kefdau beftho pcflei nai dong. ||| khi người ta bách hại anh em trong thành này, thì hãy trốn sang thành khác.
dah drŏ-kăn bơngai lui oei kơ drŏ-nglo ưh kơ lui, na klo sư wă oei kơ sư khŏm khŏm kư̆m lei-lăi, 'nĕ kơ achăng tŭk sư. ||| người vợ nào có chồng ngoại đạo mà người này bằng lòng ở với người ấy, thì người ấy đừng bỏ chồng.
dah dăm.-brang ưh kơ đei rôp sa kiơ hăm trò sư ộr đờng lămtrôm anih sư. ||| từ trong hang, sư tử tơ có rống lên không, nếu nó không vồ được mồi?
dah ism wa sokat ko kong au goh mota. ||| thì chẳng những anh em làm được điều. thầy vừa làm cho cây vả,
dah idm bat 'mem ko 'bok. kei-dei. ydng idm topa lei iem ifh ko 'mem ko dom muk tomam to ala teh au oh. ||| anh em không thể vừa làm tôi. thiên. chúa vừa làm tôi. tiền. của được.
dah idm jo ko de bongai ifh ko' 'idng, konh. bok. kei-dei kifm jo ko iem bongai ifh ko 'long mdn. ||| vì anh em xét đoán thế nào, thì anh em cũng sẽ bị. thiên. chúa xét đoán như vậy;
dah iem dei muk tomarn to' plenh ti, jo'hngdm don iem kifm tocheng to noh mon. ||| vì kho tàng của anh ở đâu, thì lòng anh ở đó.
dah iem dei muk tomarn to' plenh ti, jo'hngdm don iem kifm tocheng to noh mon. ||| và kẻ trộm không khoét vách lấy đi.
dah iem md?t gah inh pang maih wa chu kid? mottg inh athei lei iem athei chottg ko?l lu kon drd-nglo ydng tor'ngla iem; ddttg noh nar dotting, ktfm koplah jo' 'nau mott, iem athei ch ep ba koi noh nam to'. inh to? porlei. jesreel. ||| nếu các ông ủng hộ tôi và nghe lời tôi kêu gọi, thì hãy lấy đầu các người con của chủ các ông, rồi đến gặp tôi ngày mai vào giờ này, ở. gít-rơ-en
dah iem poyn kidr bo'ngai 'lop au ifh kor po'ang akau, lei bomgai noh boih porm tih lu bomgai ms 'bok. kei-dei pcfgdy. ||| vậy ai tự hạ, coi mình như em nhỏ này, người ấy sẽ là người lớn nhất. nước. trời.
dah iem tol. inh, lei. inh kom tol towih ko iem bat bu an ko. inh popuh de pang botho de to lam hnam akum. ||| nếu các ông trả lời được cho tôi, thì tôi cũng sẽ nói cho các ông biết tôi lấy quyền nào mà làm các điều ấy.
dah ih 'bôh lăm tơring ih đei bơngai mă đe pơjuă pơđep sư dah 'bôh pơm ưh kơ trŏ, ưh kơ tơpăt hơnơ̆ng, lei ih 'nĕ kơ chrêu kơ đon; yua kơ đei bơngai pơm tih kư̆m đei bơngai tih hloh kơ sư oei răp lăng, đơ̆ng noh oei đei 'bok mă tih hloh đĭ kơ bre noh dơ̆ng. ||| nếu trong một miền nào, bạn thấy người nghèo bị áp bức, luật pháp và công lý bị chà đạp, thì chớ ngạc nhiên, bởi vì một người làm lớn còn có người lớn hơn canh chừng, và cả hai lại có người lớn hơn nữa.
dah ih bơtho lu bơngai lui tơdrong. yêsu. krist kiơ̆ thoi inh pơkă, lei đe băt kơ tơdrong jang ih âu 'lơ̆ng dêh păng đe băt kơ ih lui kơjăp tơdrong 'bok. kei-dei khŏm khŏm kư̆m thoi ih lui đơ̆ng blŭng sơ̆ khơ̆ dang ei. ||| nếu anh trình bày cho anh em những điều ấy, thì anh sẽ là một người phục vụ tốt của đức. ki-tô. giê-su, một người thấm nhuần lời đức tin và giáo lý cao đẹp mà anh đã trung thành noi theo.
dah ih bơtho trô̆ đe ưh kơ gơh bâu roi ih ôh. thoi noh na lu bơngai mă ayăt kơ bơ̆n, sư wă bâu roi pơiăm bơ̆n ră mă sư ưh kơ.pơ̆n kơlih kơ bơ̆n tơpăt. dah sư bâu roi bơ̆n mă bơ̆n ưh kơ đei pơm tơdrong yoch kiơ, noh sư mơlâu kơ đe hơ'măng. ||| lời lẽ phải lành mạnh, không ai bắt bẻ được, khiến đối phương phải bẽ mặt, vì không thể nói xấu chúng ta được điều gì.
dah ih chă wơ̆n đe năm sŏng sa tơ hnam ih, lei ih athei wơ̆n lu bơngai dơnuh hin, lu bơngai jơ̆ng jo go kơdŭ, lu bơngai măt tol. ||| trái lại, khi ông đãi tiệc, hãy mời những người nghèo khó, tàn tật, què quặt, đui mù.
dah ih pơm 'idng liơ ih ifh kơ pdrn ngơk muh mat? ||| nếu ngươi hành động tốt, có phải là ngươi sẽ ngẩng mặt lên không?
dah ih pơma dơnuh hăm teh, teh gô bơtho tơ'bôh kơ iĕm. hăm lu ka đak dơsĭ, lu sư gô roi pơdah ăn kơ iĕm băt. ||| thú rừng sẽ chỉ giáo cho anh hay, cá biển sẽ giải thích cho anh rõ.
dah ih pợịuă pơđep lu kon drỗ-kăn inh păng dah chă akăn plỡng dờng, athei kơchăng bẽ! ưh kơ trỗ kon bơngai hmă đẽch ôh sek tơlang kơ bỡn mă-lei. kră. yang 'bok. kei-dei 'mỡi pơm kơdranh kơ ba. ||| nếu con hành hạ các con gái cha, và nếu ngoài các con gái cha, con còn lấy thêm vợ khác, thì dù không có ai ở với chúng ta, con hãy coi chừng:. thiên. chúa làm chứng giữa cha con ta."
dah ih wa ko arih ling-lang, lei ih athei pom kid ko todrong. bok. kei-dei pokd.". ||| nếu anh muốn vào cõi sống, thì hãy giữ các điều răn."
dah inh bolho lu dich dam inh jang, ma dom tordrong kio', lu stf jang hloi. ||| đi! ", là nó đi, bảo người kia:
dah inh chang gô arih lôch pơm hnam,. dah inh hơmet anih inh tep lăm măng mu;. ||| nếu tôi hy vọng âm phủ sẽ là nhà, và tôi sẽ kê giường trong bóng tối,
dah inh gơh pơma tôm kơ nơ̆r kon bơngai păng nơ̆r linh jang kơpal plĕnh ti, mă-lei akâu inh ưh kơ băt 'mêm kơ 'bok. kei-dei hăm bôl buăl inh, lei 'bơ̆r inh pơma noh thoi lĕ kơ jơwa đe teh teng păng jơwa tŏk-rŏk đĕch. ||| giả như tôi có nói được các thứ tiếng của loài người và của các thiên thần đi nữa, mà không có đức mến, thì tôi cũng chẳng khác gì thanh la phèng phèng, chũm choẹ xoang xoảng.
dah inh ho'lenh ma 'bok. kei-dei phak inh, ma ih apinh iok minh pudt teh dak inh, ktfm btfh mota.". ||| dù một nửa nước của ta cũng được."
dah inh jang bơtho đe yua kơ inh wă kơdih đĕch, lei inh gơh iŏk jên đe apah. mă-lei inh ưh kơ gơh iŏk, yua kơ. kră. yang wơh inh jang, na inh athei jang ăn kơ. sư đĕch. ||| tôi mà tự ý làm việc ấy, thì mới đáng. thiên. chúa thưởng công; còn nếu không tự ý, thì đó là một nhiệm vụ. thiên. chúa giao phó.
dah inh khan ko' bongai au ma bongai to:. nam be, stf nam hloi chu inh. ||| tôi bảo người này:
dah inh krao sơlŭng bơsat; "ih bơih 'bă inh;". khan kơ hrai: "ih bơih mĕ hăm mŏ inh,". ||| nếu tôi nhìn nấm mồ mà nói: "ðây là cha tôi!" và nhìn giòi bọ: "ðây là mẹ, đây là chị tôi!",
dah inh oei arih, inh oei jang tơdrong. sư, oei yua khŏm khŏm. na 'bar tơdrong 'noh inh ưh kơ băt wă iŏk mă ayơ. tơdrong 'nâu kư̆m kăl, tơdrong 'noh kư̆m kăl. ||| nếu sống ở đời này mà công việc của tôi được sinh hoa kết quả, thì tôi không biết phải chọn đàng nào.
dah inh oei arih, inh oei pơư pơang kơ đe anăn. yêsu; dah inh lôch inh oei hơdai hăm. sư boih, 'noh rai hiôk hloh. ||| vì đối với tôi, sống là đức. ki-tô, và chết là một mối lợi.
dah inh sa tơmam đe sơmah kơ yang, na 'nhŏng oh bơ̆n hơdai sa kiơ̆ inh, lei tơdrong yoch noh yua kơ inh, na ning-mônh inh ưh pă layơ wă sa dôm tơmam đe sơmah kơ yang dơ̆ng boih. ||| vì thế, nếu của ăn mà làm cớ cho anh em tôi sa ngã, thì tôi sẽ không bao giờ ăn thịt nữa, để khỏi làm cớ cho anh em tôi sa ngã.
dah inh tồk tơ pỉènh, ih oei tơ noh,. mã inh jur bích lăm dêh hoiâu to. ih kừm to' noh. ||| nếu tôi lên trời,. chúa ở tại đó,. ví tôi nằm dưới âm-phủ, kia,. chúa cũng có ở đó.
dah inh wă kơ 'bok. kei-dei lăp đon kơ inh na inh asong đĭ-đăng mŭk tơmam inh kơ lu bơngai dơnuh hin, klaih kơ noh inh pơm soh pơyơ̆r akâu inh kơ 'bok. kei-dei, mă-lei inh ưh kơ băt 'mêm kơ bôl buăl inh, tơdrong inh pơm noh ưh kơ đei yua kiơ kơ inh ôh. ||| giả như tôi có đem hết gia tài cơ nghiệp mà bố thí, hay nộp cả thân xác tôi để chịu thiêu đốt, mà không có đức mến, thì cũng chẳng ích gì cho tôi.
dah inh wă, inh gơh pơm tôm tơdrong kiơ̆ thoi iĕm mơ̆n. inh boih jơ̆ng 'bang. yêsu; inh 'bôh. sư tơpă,. sư. yang pơm. yŏng pơgơ̆r bơ̆n; păng iĕm lui kơ. sư đơ̆ng. sư tơgŭm inh bơtho iĕm. ||| tôi không tự do ư? tôi không phải là tông đồ ư? tôi đã không thấy đức. giê-su,. chúa chúng ta sao? anh em không phải là công trình của tôi trong. chúa sao?
dah inh đei khan: "inh gô pờmà thoi âu,"lei inh pơm ưh kơ tơpăt kơ íu adrẽch adrung kon pơlei. ih boih. ||| nếu tôi có nói rằng:. ta sẽ nói như vậy; ắt tôi đã phạm bất-ưung cùng dòng-dõi con-cái. chúa.
dah inh ưh kơ yĕng năm, inh chih kơthơ âu boih wă kơ ih băt bơ̆n 'nhŏng oh bơngai lui wă pơm thoi yơ lăm hnam 'bok. kei-dei. bơ̆n bơngai lui jing kon. kră. yang 'bok. kei-dei. sư boih arih ling-lang ưh kơ đei layơ lôch, na lu bơ̆n bơngai lui mă răk tơdrong 'bok. kei-dei kơjăp, trŏ kơ bơ̆n bơtho tơdrong. sư kơ đe nai dơ̆ng. ||| nhưng nếu tôi chậm trễ, thì thư này sẽ cho anh biết phải ăn ở thế nào trong nhà của. thiên. chúa, tức là. hội. thánh của. thiên. chúa hằng sống, cột trụ và điểm tựa của chân lý.
dah iung lĭng bĕ! ĭnh pă kĕ guăng et nhôi păng đe boih. ||| mình dậy mau, tôi có chuyện muốn nói đây.
dah iă mol knăxa khong noh. ||| thà nhịn chớ không ăn cái ấy
dah iĕm 'bôh 'nhŏng oh bơ̆n bơngai lui sư pơm yoch iĕm athĕbkraŏ khan kơ 'bok. kei-dei kơ sư, na 'bok. kei-dei gô ăn kơ sư arih ling-lang. sơmă đei 'bar khŭl tơdrong yoch. minh khŭl noh bơ̆n 'bôh 'nhŏng oh bơ̆n -pơm yoch, athei krao khan kơ 'bok. kei-dei tơgŭm sư. minh khŭl dộng bơ̆n 'bôh 'nhŏng oh bơ̆n pơm yoch khô̆m khô̆m, inh ưh kơ đei athei iĕm krao khan tơgŭm sư dơ̆ng ôh. bơngai bu pơm yoch thoi noh sư gô ram tơpă. ||| nếu ai biết anh em mình phạm thứ tội không đưa đến cái chết, thì hãy cầu xin, và. thiên. chúa sẽ ban sự sống cho người anh em ấy; đó là nói về những ai phạm thứ tội không đưa đến cái chết. có một thứ tội đưa đến cái chết, tôi không bảo phải cầu xin cho thứ tội ấy.
dah iĕm adrin pơm kiơ̆ dôm tơdrong noh tơpă, iĕm gô hlôh tơpă dôm tơdrong. kră. yang bŏn. yêsu. krist. 'noh iĕm jing bơngai yua kơ tơdrong jang sư boih. ||| thật vậy, nếu anh em có những đức tính ấy và có dồi dào, thì anh em sẽ không trở nên những người chẳng làm gì và chẳng làm gì được để biết đức. giê-su. ki-tô,. chúa chúng ta.
dah iĕm adrin tơpă lei iĕm huay kơ hiong tơdrong arih ling-lang ôh.". ||| có kiên trì, anh em mới giữ được mạng sống mình."
dah iĕm băt kơ. inh, iĕm kư̆m băt kơ 'bă. inh mơ̆n. đơ̆ng dang ei hloi iĕm băt kơ. sư păng iĕm 'bôh. sư.". ||| nếu anh em biết. thầy, anh em cũng biết. cha. thầy. ngay từ bây giờ, anh em biết. người và đã thấy. người."
dah iĕm jang tơnăp tơpă, iĕm huay kơ kăl đe jang tơdŏng iĕm ôh. thoi noh na lu bơngai ưh tam mă lui lăng iĕm jang hơiă tơpă. ||| như vậy, lối sống của anh em sẽ được người ngoài cảm phục, và anh em sẽ không cần nhờ đến ai.
dah iĕm khŭl bơngai ala teh âu, lei tơduă iĕm ala teh âu 'mêm mơnat dih băl. mă-lei. inh rơih iŏk iĕm đơ̆ng khŭl ala teh âu na lu sư lăng iĕm thoi lĕ ưh kơ dih bôl. kơlih kơ thoi noh na lu sư hil areh kơ lu iĕm. ||| giả như anh em thuộc về thế gian, thì thế gian đã yêu thích cái gì là của nó. nhưng vì anh em không thuộc về thế gian và. thầy đã chọn, đã tách anh em khỏi thế gian, nên thế gian ghét anh em.
dah iĕm kiơ̆ đe năm sa et tơmam tơ hnam đe sơmah kơ yang, lei inh hli kơ lu bôl bơ̆n mă 'nao lui sư tơchĕng kơ rup yang hli kơ sư khan yang tơpă, mưh sư 'bôh iĕm năm sa et, hli kơ sư 'maih kiơ̆ iĕm năm sa et tơmam đe sơmah 'noh mơ̆n. ||| thật vậy, nếu có ai thấy bạn là người hiểu biết mà lại ngồi dự tiệc trong đền trong miếu, thì lương tâm của người yếu đuối ấy lại chẳng dựa vào đó mà ăn của cúng sao?
